"","gsis_id","num_seasons","total_receptions","total_targets","total_rec_yards","total_receiving_tds","total_receiving_air_yards","total_yac","avg_tgt_share","avg_ay_share","avg_wopr","season_draft","round_draft","pick_draft","clean_team_draft","pfr_player_name_draft","age_draft","season_roster","clean_team_enter_fifth","same_team"
"116","00-0033069",2,34,57,261,2,441,113,0.0991098683601391,0.0860231772136559,0.208881026589768,2016,3,85,"HOU","Braxton Miller",23,NA,NA,0
"117","00-0033079",2,45,96,562,0,1126,164,0.122250396572342,0.185269007016729,0.313063899770223,2016,4,114,"CLE","Ricardo Louis",22,NA,NA,0
"118","00-0033111",4,50,73,433,1,550,196,0.065764778949233,0.0552890431405553,0.137349498622238,2016,4,117,"LAR","Pharoh Cooper",21,2020,"CAR",0
"119","00-0033114",3,10,21,144,0,268,52,0.0589903246471339,0.0876134630467698,0.14981491110344,2016,6,206,"LAR","Mike Thomas",22,2020,"CIN",0
"120","00-0033127",4,168,277,2373,16,4083,770,0.192859208326171,0.286682089091522,0.489966274853322,2016,1,21,"HOU","Will Fuller",22,2020,"HOU",1
"121","00-0033282",4,185,293,2087,14,3281,625,0.161313348478216,0.208964894914043,0.388245449157154,2017,2,40,"CAR","Curtis Samuel",21,2021,"WAS",0
"122","00-0033292",3,79,121,731,3,764,334,0.0948674439796219,0.0815859992813456,0.199411365466375,2017,5,177,"SF","Trent Taylor",23,2021,"CIN",0
"123","00-0033460",4,51,123,733,10,1812,260,0.110454360570619,0.195625596249515,0.302619458230589,2017,1,9,"CIN","John Ross",21,2021,"NYG",0
"124","00-0033464",2,3,6,25,0,32,15,0.0439454064454064,0.028195910350704,0.0856552469136025,2017,4,139,"KC","Jehu Chesson",23,NA,NA,0
"125","00-0033466",4,86,124,781,7,783,520,0.103115859925126,0.0725129539105453,0.205432857625071,2017,5,172,"DEN","Isaiah McKenzie",22,2021,"BUF",0
"126","00-0033471",3,51,80,520,0,706,154,0.0956690774392445,0.095351455585935,0.210249635069021,2017,7,237,"MIA","Isaiah Ford",21,2021,"MIA",1
"127","00-0033530",1,2,5,17,0,36,2,0.0506410256410256,0.0479340894336885,0.10951540106512,2017,6,209,"WAS","Robert Davis",22,NA,NA,0
"128","00-0033536",4,158,280,2626,17,4329,501,0.138419988611037,0.257588469074861,0.387941911268958,2017,1,7,"LAC","Mike Williams",22,2021,"LAC",1
"129","00-0033555",3,43,72,536,2,838,109,0.0690984386487555,0.0941927580406112,0.169582588601561,2017,4,118,"PHI","Mack Hollins",23,2021,"MIA",0
"130","00-0033562",3,50,62,321,1,198,172,0.0816964867109915,0.0298975842875465,0.14347303906777,2017,4,133,"DAL","Ryan Switzer",22,2021,"CLE",0
"131","00-0033573",2,3,6,59,0,123,-3,0.0639053433268859,0.144416386083053,0.196949485248466,2017,5,166,"PHI","Shelton Gibson",23,NA,NA,0
"132","00-0033589",3,81,139,1221,13,1806,437,0.112719830668801,0.162428056518238,0.282779385565969,2017,7,226,"SEA","David Moore",22,2021,"LV",0
"133","00-0033591",3,25,46,260,0,416,95,0.0566569453246335,0.0701186920717823,0.134068502437198,2017,7,239,"DAL","Noah Brown",21,2021,"DAL",1
"134","00-0033839",4,167,268,1805,9,2321,797,0.16051900571392,0.201671547676954,0.381948591944748,2017,4,110,"JAX","Dede Westbrook",23,2021,"MIN",0
"135","00-0033840",2,26,41,330,1,462,61,0.111940680152754,0.140372136787662,0.266171515980495,2017,4,141,"NYJ","Chad Hansen",22,NA,NA,0
"136","00-0033857",4,324,467,3888,28,3799,1756,0.201280821769094,0.217071166221927,0.453871049008991,2017,2,62,"PIT","JuJu Smith-Schuster",20,2021,"PIT",1
"137","00-0033859",3,11,28,91,1,325,27,0.101961557146575,0.0981330880233118,0.221635497336181,2017,4,128,"CIN","Josh Malone",21,NA,NA,0
"138","00-0033871",4,222,367,3017,14,4175,931,0.209411884385924,0.290927270133456,0.517766915672306,2017,1,5,"TEN","Corey Davis",22,2021,"NYJ",0
"139","00-0033891",4,126,245,1358,10,2899,348,0.136079493680279,0.179404202419852,0.329702182214316,2017,2,37,"BUF","Zay Jones",22,2021,"LV",0
"140","00-0033908",4,300,429,3717,25,3289,1746,0.216583270811556,0.214899919791728,0.475304850071543,2017,3,69,"LAR","Cooper Kupp",24,2021,"LAR",1
"141","00-0033911",4,55,90,706,2,1204,220,0.0751672740290801,0.137991021217944,0.209344625896181,2017,3,72,"TEN","Taywan Taylor",22,2021,"HOU",0
"142","00-0033916",1,6,13,82,0,112,19,0.0538412442956412,0.0624529664397459,0.124478942951284,2017,3,79,"NYJ","ArDarius Stewart",23,NA,NA,0
"143","00-0033921",3,226,332,3247,24,3574,1206,0.195953824411218,0.20836710282876,0.439787708596958,2017,3,84,"TB","Chris Godwin",21,2021,"TB",1
"144","00-0033932",4,183,315,3068,21,4350,873,0.194200621390256,0.325274935857005,0.518993387185288,2017,3,96,"DET","Kenny Golladay",23,2021,"NYG",0
"145","00-0033933",3,20,54,202,1,681,22,0.0767992326960182,0.104791114006407,0.188552628848512,2017,3,98,"ARI","Chad Williams",22,NA,NA,0
"146","00-0033937",1,8,13,71,0,157,16,0.0538536991661992,0.0622988939458479,0.124389774511392,2017,3,106,"SEA","Amara Darboh",23,NA,NA,0
"147","00-0033943",4,124,223,1636,9,2436,588,0.116430912057623,0.159124815355026,0.286033738834953,2017,4,117,"LAR","Josh Reynolds",22,2021,"TEN",0
"148","00-0033968",2,0,2,0,0,15,0,0.0243055555555556,0.0235354846623258,0.0529331725969614,2017,7,219,"MIN","Stacy Coley",23,NA,NA,0
"149","00-0034267",2,2,4,22,0,52,9,0.0967391304347826,0.173462301587302,0.266532306763285,2018,4,132,"BAL","Jaleel Scott",23,NA,NA,0
"150","00-0034268",1,2,3,15,0,19,6,0.0391414141414141,0.0251943236112102,0.0763481477399683,2018,4,133,"GB","J'Mon Moore",23,NA,NA,0
"151","00-0034272",4,132,262,2309,14,4217,816,0.132121489456474,0.250116995111865,0.373264130763017,2018,5,174,"GB","Marquez Valdes-Scantling",23,2022,"KC",0
"152","00-0034273",3,29,54,407,1,638,108,0.0832015884129827,0.114820776434306,0.205176926123488,2018,6,175,"CLE","Damion Ratley",23,NA,NA,0
"153","00-0034278",1,0,0,0,0,0,0,NA,NA,NA,2018,6,196,"KC","Tremon Smith",22,NA,NA,0
"154","00-0034279",3,39,69,580,1,868,250,0.0675348598925958,0.0987325387450341,0.170415066960417,2018,6,207,"GB","Equanimeous St. Brown",21,2022,"CHI",0
